# Bopomofo
134-1456-4	3107-3127-3123-02C7
134-1456-2	3107-3127-3123-02CA
134-13456-4	3107-3127-3125-02C7
134-13456-2	3107-3127-3125-02CA
134-13456-5	3107-3127-3125-02CB
134-34-4	3107-3128-02C7
134-34-2	3107-3128-02CA
134-34-5	3107-3128-02CB
12345-345-3	3108-311A-0020
12345-345-4	3108-311A-02C7
12345-345-2	3108-311A-02CA
12345-345-5	3108-311A-02CB
12345-126-2	3108-311B-02CA
12345-356-3	3108-311F-0020
12345-356-4	3108-311F-02C7
12345-356-2	3108-311F-02CA
12345-356-5	3108-311F-02CB
12345-12356-4	3108-3121-02C7
12345-12356-2	3108-3121-02CA
12345-1236-3	3108-3122-0020
12345-1236-4	3108-3122-02C7
12345-1236-2	3108-3122-02CA
12345-1236-5	3108-3122-02CB
12345-136-3	3108-3123-0020
12345-136-4	3108-3123-02C7
12345-136-2	3108-3123-02CA
12345-136-5	3108-3123-02CB
12345-136-1	3108-3123-02D9
12345-1346-3	3108-3124-0020
12345-1346-4	3108-3124-02C7
12345-1346-2	3108-3124-02CA
12345-1346-5	3108-3124-02CB
12345-1356-3	3108-3125-0020
12345-1356-4	3108-3125-02C7
12345-1356-2	3108-3125-02CA
12345-1356-5	3108-3125-02CB
12345-34-3	3108-3128-0020
12345-34-4	3108-3128-02C7
12345-34-2	3108-3128-02CA
12345-34-5	3108-3128-02CB
145-345-3	3109-311A-0020
145-345-4	3109-311A-02C7
145-345-2	3109-311A-02CA
145-345-5	3109-311A-02CB
145-345-1	3109-311A-02D9
145-2346-2	3109-311C-02CA
145-2346-1	3109-311C-02D9
145-2456-3	3109-311E-0020
145-2456-4	3109-311E-02C7
145-2456-5	3109-311E-02CB
145-356-4	3109-311F-02C7
145-146-3	3109-3120-0020
145-146-4	3109-3120-02C7
145-146-2	3109-3120-02CA
145-146-5	3109-3120-02CB
145-12356-3	3109-3121-0020
145-12356-4	3109-3121-02C7
145-12356-5	3109-3121-02CB
145-1236-3	3109-3122-0020
145-1236-4	3109-3122-02C7
145-1236-2	3109-3122-02CA
145-1236-5	3109-3122-02CB
145-1346-3	3109-3124-0020
145-1346-4	3109-3124-02C7
145-1346-5	3109-3124-02CB
145-1356-3	3109-3125-0020
145-1356-4	3109-3125-02C7
145-1356-5	3109-3125-02CB
145-16-3	3109-3127-0020
145-16-4	3109-3127-02C7
145-16-2	3109-3127-02CA
145-16-5	3109-3127-02CB
145-16-1	3109-3127-02D9
145-23456-3	3109-3127-311A-0020
145-346-3	3109-3127-311D-0020
145-346-2	3109-3127-311D-02CA
145-346-5	3109-3127-311D-02CB
145-346-1	3109-3127-311D-02D9
145-246-3	3109-3127-3120-0020
145-246-4	3109-3127-3120-02C7
145-246-5	3109-3127-3120-02CB
145-234-3	3109-3127-3121-0020
145-2345-3	3109-3127-3122-0020
145-2345-4	3109-3127-3122-02C7
145-2345-5	3109-3127-3122-02CB
145-13456-3	3109-3127-3125-0020
145-13456-4	3109-3127-3125-02C7
145-13456-5	3109-3127-3125-02CB
145-34-3	3109-3128-0020
145-34-4	3109-3128-02C7
145-34-2	3109-3128-02CA
145-34-5	3109-3128-02CB
145-25-3	3109-3128-311B-0020
145-25-4	3109-3128-311B-02C7
145-25-2	3109-3128-311B-02CA
145-25-5	3109-3128-311B-02CB
145-25-1	3109-3128-311B-02D9
145-1246-3	3109-3128-311F-0020
145-1246-5	3109-3128-311F-02CB
145-12456-3	3109-3128-3122-0020
145-12456-4	3109-3128-3122-02C7
145-12456-5	3109-3128-3122-02CB
145-123456-3	3109-3128-3123-0020
145-123456-4	3109-3128-3123-02C7
145-123456-5	3109-3128-3123-02CB
145-12346-3	3109-3128-3125-0020
145-12346-4	3109-3128-3125-02C7
145-12346-5	3109-3128-3125-02CB
124-345-3	310A-311A-0020
124-345-4	310A-311A-02C7
124-345-5	310A-311A-02CB
124-2346-5	310A-311C-02CB
124-2456-3	310A-311E-0020
124-2456-2	310A-311E-02CA
124-2456-5	310A-311E-02CB
124-146-3	310A-3120-0020
124-146-4	310A-3120-02C7
124-146-2	310A-3120-02CA
124-146-5	310A-3120-02CB
124-12356-3	310A-3121-0020
124-12356-4	310A-3121-02C7
124-12356-2	310A-3121-02CA
124-12356-5	310A-3121-02CB
124-12356-1	310A-3121-02D9
124-1236-3	310A-3122-0020
124-1236-4	310A-3122-02C7
124-1236-2	310A-3122-02CA
124-1236-5	310A-3122-02CB
124-1346-3	310A-3124-0020
124-1346-4	310A-3124-02C7
124-1346-2	310A-3124-02CA
124-1346-5	310A-3124-02CB
124-1356-3	310A-3125-0020
124-1356-2	310A-3125-02CA
124-16-3	310A-3127-0020
124-16-4	310A-3127-02C7
124-16-2	310A-3127-02CA
124-16-5	310A-3127-02CB
124-346-3	310A-3127-311D-0020
124-346-4	310A-3127-311D-02C7
124-346-5	310A-3127-311D-02CB
124-246-3	310A-3127-3120-0020
124-246-4	310A-3127-3120-02C7
124-246-2	310A-3127-3120-02CA
124-246-5	310A-3127-3120-02CB
124-2345-3	310A-3127-3122-0020
124-2345-4	310A-3127-3122-02C7
124-2345-2	310A-3127-3122-02CA
124-2345-5	310A-3127-3122-02CB
124-13456-3	310A-3127-3125-0020
124-13456-4	310A-3127-3125-02C7
124-13456-2	310A-3127-3125-02CA
124-13456-5	310A-3127-3125-02CB
124-34-3	310A-3128-0020
124-34-4	310A-3128-02C7
124-34-2	310A-3128-02CA
124-34-5	310A-3128-02CB
124-25-3	310A-3128-311B-0020
124-25-4	310A-3128-311B-02C7
124-25-2	310A-3128-311B-02CA
124-25-5	310A-3128-311B-02CB
124-1246-3	310A-3128-311F-0020
124-1246-4	310A-3128-311F-02C7
124-1246-2	310A-3128-311F-02CA
124-1246-5	310A-3128-311F-02CB
124-12456-3	310A-3128-3122-0020
124-12456-4	310A-3128-3122-02C7
124-12456-2	310A-3128-3122-02CA
124-12456-5	310A-3128-3122-02CB
124-123456-3	310A-3128-3123-0020
124-123456-4	310A-3128-3123-02C7
124-123456-2	310A-3128-3123-02CA
124-123456-5	310A-3128-3123-02CB
124-12346-3	310A-3128-3125-0020
124-12346-4	310A-3128-3125-02C7
124-12346-2	310A-3128-3125-02CA
124-12346-5	310A-3128-3125-02CB
1345-345-3	310B-311A-0020
1345-345-4	310B-311A-02C7
1345-345-2	310B-311A-02CA
1345-345-5	310B-311A-02CB
1345-345-1	310B-311A-02D9
1345-2346-3	310B-311C-0020
1345-2346-5	310B-311C-02CB
1345-2346-1	310B-311C-02D9
1345-2456-4	310B-311E-02C7
1345-2456-2	310B-311E-02CA
1345-2456-5	310B-311E-02CB
1345-2456-1	310B-311E-02D9
1345-356-4	310B-311F-02C7
1345-356-5	310B-311F-02CB
1345-146-3	310B-3120-0020
1345-146-4	310B-3120-02C7
1345-146-2	310B-3120-02CA
1345-146-5	310B-3120-02CB
1345-12356-4	310B-3121-02C7
1345-12356-2	310B-3121-02CA
1345-12356-5	310B-3121-02CB
1345-1236-3	310B-3122-0020
1345-1236-4	310B-3122-02C7
1345-1236-2	310B-3122-02CA
1345-1236-5	310B-3122-02CB
1345-136-3	310B-3123-0020
1345-136-5	310B-3123-02CB
1345-1346-3	310B-3124-0020
1345-1346-4	310B-3124-02C7
1345-1346-2	310B-3124-02CA
1345-1346-5	310B-3124-02CB
1345-1346-1	310B-3124-02D9
1345-1356-2	310B-3125-02CA
1345-1356-5	310B-3125-02CB
1345-16-4	310B-3127-02C7
1345-16-2	310B-3127-02CA
1345-16-5	310B-3127-02CB
1345-346-3	310B-3127-311D-0020
