# Bopomofo
245-1456-3	3111-3127-3123-0020
245-1456-4	3111-3127-3123-02C7
245-1456-2	3111-3127-3123-02CA
245-1456-5	3111-3127-3123-02CB
245-46-3	3111-3127-3124-0020
245-46-4	3111-3127-3124-02C7
245-46-2	3111-3127-3124-02CA
245-46-5	3111-3127-3124-02CB
245-13456-3	3111-3127-3125-0020
245-13456-4	3111-3127-3125-02C7
245-13456-2	3111-3127-3125-02CA
245-13456-5	3111-3127-3125-02CB
245-1256-3	3111-3129-0020
245-1256-4	3111-3129-02C7
245-1256-2	3111-3129-02CA
245-1256-5	3111-3129-02CB
245-236-3	3111-3129-311D-0020
245-236-2	3111-3129-311D-02CA
245-236-5	3111-3129-311D-02CB
245-45-3	3111-3129-3122-0020
245-45-4	3111-3129-3122-02C7
245-45-2	3111-3129-3122-02CA
245-45-5	3111-3129-3122-02CB
245-256-3	3111-3129-3123-0020
245-256-2	3111-3129-3123-02CA
245-235-3	3111-3129-3125-0020
245-235-4	3111-3129-3125-02C7
245-235-2	3111-3129-3125-02CA
15-16-3	3112-3127-0020
15-16-4	3112-3127-02C7
15-16-2	3112-3127-02CA
15-16-5	3112-3127-02CB
15-23456-3	3112-3127-311A-0020
15-23456-4	3112-3127-311A-02C7
15-23456-2	3112-3127-311A-02CA
15-23456-5	3112-3127-311A-02CB
15-346-3	3112-3127-311D-0020
15-346-4	3112-3127-311D-02C7
15-346-2	3112-3127-311D-02CA
15-346-5	3112-3127-311D-02CB
15-346-1	3112-3127-311D-02D9
15-246-3	3112-3127-3120-0020
15-246-4	3112-3127-3120-02C7
15-246-2	3112-3127-3120-02CA
15-246-5	3112-3127-3120-02CB
15-234-3	3112-3127-3121-0020
15-234-4	3112-3127-3121-02C7
15-234-5	3112-3127-3121-02CB
15-2345-3	3112-3127-3122-0020
15-2345-4	3112-3127-3122-02C7
15-2345-2	3112-3127-3122-02CA
15-2345-5	3112-3127-3122-02CB
15-1456-3	3112-3127-3123-0020
15-1456-4	3112-3127-3123-02C7
15-1456-2	3112-3127-3123-02CA
15-1456-5	3112-3127-3123-02CB
15-46-3	3112-3127-3124-0020
15-46-4	3112-3127-3124-02C7
15-46-2	3112-3127-3124-02CA
15-46-5	3112-3127-3124-02CB
15-13456-3	3112-3127-3125-0020
15-13456-4	3112-3127-3125-02C7
15-13456-2	3112-3127-3125-02CA
15-13456-5	3112-3127-3125-02CB
15-1256-3	3112-3129-0020
15-1256-4	3112-3129-02C7
15-1256-2	3112-3129-02CA
15-1256-5	3112-3129-02CB
15-236-3	3112-3129-311D-0020
15-236-4	3112-3129-311D-02C7
15-236-2	3112-3129-311D-02CA
15-236-5	3112-3129-311D-02CB
15-45-3	3112-3129-3122-0020
15-45-4	3112-3129-3122-02C7
15-45-2	3112-3129-3122-02CA
15-45-5	3112-3129-3122-02CB
15-256-3	3112-3129-3123-0020
15-256-2	3112-3129-3123-02CA
15-256-5	3112-3129-3123-02CB
15-235-3	3112-3129-3125-0020
15-235-2	3112-3129-3125-02CA
15-235-5	3112-3129-3125-02CB
1-156-3	3113-0020
1-156-4	3113-02C7
1-156-2	3113-02CA
1-156-5	3113-02CB
1-345-3	3113-311A-0020
1-345-4	3113-311A-02C7
1-345-2	3113-311A-02CA
1-345-5	3113-311A-02CB
1-2346-3	3113-311C-0020
1-2346-4	3113-311C-02C7
1-2346-2	3113-311C-02CA
1-2346-5	3113-311C-02CB
1-2346-1	3113-311C-02D9
1-2456-3	3113-311E-0020
1-2456-4	3113-311E-02C7
1-2456-2	3113-311E-02CA
1-2456-5	3113-311E-02CB
1-146-3	3113-3120-0020
1-146-4	3113-3120-02C7
1-146-2	3113-3120-02CA
1-146-5	3113-3120-02CB
1-12356-3	3113-3121-0020
1-12356-4	3113-3121-02C7
1-12356-2	3113-3121-02CA
1-12356-5	3113-3121-02CB
1-1236-3	3113-3122-0020
1-1236-4	3113-3122-02C7
1-1236-5	3113-3122-02CB
1-136-3	3113-3123-0020
1-136-4	3113-3123-02C7
1-136-5	3113-3123-02CB
1-1346-3	3113-3124-0020
1-1346-4	3113-3124-02C7
1-1346-5	3113-3124-02CB
1-1356-3	3113-3125-0020
1-1356-4	3113-3125-02C7
1-1356-5	3113-3125-02CB
1-34-3	3113-3128-0020
1-34-4	3113-3128-02C7
1-34-2	3113-3128-02CA
1-34-5	3113-3128-02CB
1-35-3	3113-3128-311A-0020
1-35-4	3113-3128-311A-02C7
1-25-3	3113-3128-311B-0020
1-25-2	3113-3128-311B-02CA
1-2356-3	3113-3128-311E-0020
1-2356-4	3113-3128-311E-02C7
1-2356-5	3113-3128-311E-02CB
1-1246-3	3113-3128-311F-0020
1-1246-4	3113-3128-311F-02C7
1-1246-5	3113-3128-311F-02CB
1-12456-3	3113-3128-3122-0020
1-12456-4	3113-3128-3122-02C7
1-12456-5	3113-3128-3122-02CB
1-123456-3	3113-3128-3123-0020
1-123456-4	3113-3128-3123-02C7
1-123456-5	3113-3128-3123-02CB
1-456-3	3113-3128-3124-0020
1-456-4	3113-3128-3124-02C7
1-456-5	3113-3128-3124-02CB
1-12346-3	3113-3128-3125-0020
1-12346-4	3113-3128-3125-02C7
1-12346-5	3113-3128-3125-02CB
12-156-3	3114-0020
12-156-4	3114-02C7
12-156-2	3114-02CA
12-156-5	3114-02CB
12-345-3	3114-311A-0020
12-345-4	3114-311A-02C7
12-345-2	3114-311A-02CA
12-345-5	3114-311A-02CB
12-2346-3	3114-311C-0020
12-2346-4	3114-311C-02C7
12-2346-5	3114-311C-02CB
12-2456-3	3114-311E-0020
12-2456-4	3114-311E-02C7
12-2456-2	3114-311E-02CA
12-2456-5	3114-311E-02CB
12-146-3	3114-3120-0020
12-146-4	3114-3120-02C7
12-146-2	3114-3120-02CA
12-146-5	3114-3120-02CB
12-12356-3	3114-3121-0020
12-12356-4	3114-3121-02C7
12-12356-2	3114-3121-02CA
12-12356-5	3114-3121-02CB
12-1236-3	3114-3122-0020
12-1236-4	3114-3122-02C7
12-1236-2	3114-3122-02CA
12-1236-5	3114-3122-02CB
12-136-3	3114-3123-0020
12-136-4	3114-3123-02C7
12-136-2	3114-3123-02CA
12-136-5	3114-3123-02CB
12-136-1	3114-3123-02D9
12-1346-3	3114-3124-0020
12-1346-4	3114-3124-02C7
12-1346-2	3114-3124-02CA
12-1346-5	3114-3124-02CB
12-1356-3	3114-3125-0020
12-1356-4	3114-3125-02C7
12-1356-2	3114-3125-02CA
12-1356-5	3114-3125-02CB
12-34-3	3114-3128-0020
12-34-4	3114-3128-02C7
12-34-2	3114-3128-02CA
12-34-5	3114-3128-02CB
12-35-3	3114-3128-311A-0020
12-35-4	3114-3128-311A-02C7
12-25-3	3114-3128-311B-0020
12-25-5	3114-3128-311B-02CB
12-2356-3	3114-3128-311E-0020
12-2356-4	3114-3128-311E-02C7
12-2356-2	3114-3128-311E-02CA
12-2356-5	3114-3128-311E-02CB
12-1246-3	3114-3128-311F-0020
12-1246-2	3114-3128-311F-02CA
12-1246-5	3114-3128-311F-02CB
12-12456-3	3114-3128-3122-0020
12-12456-4	3114-3128-3122-02C7
12-12456-2	3114-3128-3122-02CA
12-12456-5	3114-3128-3122-02CB
12-123456-3	3114-3128-3123-0020
12-123456-4	3114-3128-3123-02C7
12-123456-2	3114-3128-3123-02CA
12-456-3	3114-3128-3124-0020
12-456-4	3114-3128-3124-02C7
12-456-2	3114-3128-3124-02CA
12-456-5	3114-3128-3124-02CB
12-12346-3	3114-3128-3125-0020
12-12346-4	3114-3128-3125-02C7
12-12346-2	3114-3128-3125-02CA
12-12346-5	3114-3128-3125-02CB
24-156-3	3115-0020
24-156-4	3115-02C7
24-156-2	3115-02CA
24-156-5	3115-02CB
24-156-1	3115-02D9
24-345-3	3115-311A-0020
24-345-4	3115-311A-02C7
24-345-2	3115-311A-02CA
24-345-5	3115-311A-02CB
24-2346-3	3115-311C-0020
24-2346-4	3115-311C-02C7
24-2346-2	3115-311C-02CA
24-2346-5	3115-311C-02CB
24-2456-3	3115-311E-0020
24-2456-4	3115-311E-02C7
24-2456-5	3115-311E-02CB
24-356-2	3115-311F-02CA
24-146-3	3115-3120-0020
24-146-4	3115-3120-02C7
24-146-2	3115-3120-02CA
24-146-5	3115-3120-02CB
24-12356-3	3115-3121-0020
24-12356-4	3115-3121-02C7
24-12356-2	3115-3121-02CA
24-12356-5	3115-3121-02CB
24-1236-3	3115-3122-0020
24-1236-4	3115-3122-02C7
24-1236-5	3115-3122-02CB
24-136-3	3115-3123-0020
24-136-4	3115-3123-02C7
24-136-2	3115-3123-02CA
24-136-5	3115-3123-02CB
24-1346-3	3115-3124-0020
24-1346-4	3115-3124-02C7
24-1346-5	3115-3124-02CB
24-1346-1	3115-3124-02D9
24-1356-3	3115-3125-0020
24-1356-4	3115-3125-02C7
24-1356-2	3115-3125-02CA
24-1356-5	3115-3125-02CB
24-34-3	3115-3128-0020
24-34-4	3115-3128-02C7
24-34-2	3115-3128-02CA
24-34-5	3115-3128-02CB
24-34-1	3115-3128-02D9
24-35-3	3115-3128-311A-0020
24-35-4	3115-3128-311A-02C7
24-35-5	3115-3128-311A-02CB
24-25-3	3115-3128-311B-0020
24-25-5	3115-3128-311B-02CB
24-2356-3	3115-3128-311E-0020
24-2356-4	3115-3128-311E-02C7
24-2356-5	3115-3128-311E-02CB
24-1246-4	3115-3128-311F-02C7
24-1246-2	3115-3128-311F-02CA
24-1246-5	3115-3128-311F-02CB
24-12456-3	3115-3128-3122-0020
24-12456-5	3115-3128-3122-02CB
24-123456-4	3115-3128-3123-02C7
24-123456-5	3115-3128-3123-02CB
24-456-3	3115-3128-3124-0020
24-456-4	3115-3128-3124-02C7
24-456-5	3115-3128-3124-02CB
1245-156-3	3116-0020
1245-156-5	3116-02CB
1245-2346-4	3116-311C-02C7
1245-2346-2	3116-311C-02CA
1245-2346-5	3116-311C-02CB
1245-146-4	3116-3120-02C7
1245-146-2	3116-3120-02CA
1245-146-5	3116-3120-02CB
1245-12356-4	3116-3121-02C7
1245-12356-2	3116-3121-02CA
1245-12356-5	3116-3121-02CB
1245-1236-4	3116-3122-02C7
1245-1236-2	3116-3122-02CA
1245-136-4	3116-3123-02C7
1245-136-2	3116-3123-02CA
1245-136-5	3116-3123-02CB
1245-1346-4	3116-3124-02C7
1245-1346-2	3116-3124-02CA
1245-1346-5	3116-3124-02CB
1245-1356-3	3116-3125-0020
1245-1356-4	3116-3125-02C7
1245-1356-2	3116-3125-02CA
1245-1356-5	3116-3125-02CB
1245-34-4	3116-3128-02C7
1245-34-2	3116-3128-02CA
1245-34-5	3116-3128-02CB
1245-25-2	3116-3128-311B-02CA
1245-25-5	3116-3128-311B-02CB
1245-1246-4	3116-3128-311F-02C7
1245-1246-2	3116-3128-311F-02CA
1245-1246-5	3116-3128-311F-02CB
1245-12456-2	3116-3128-3122-02CA
1245-12456-5	3116-3128-3122-02CB
1245-123456-3	3116-3128-3123-0020
1245-123456-2	3116-3128-3123-02CA
1245-123456-5	3116-3128-3123-02CB
1245-12346-4	3116-3128-3125-02C7
1245-12346-2	3116-3128-3125-02CA
125-156-3	3117-0020
125-156-4	3117-02C7
125-156-5	3117-02CB
125-156-1	3117-02D9
125-345-3	3117-311A-0020
125-345-4	3117-311A-02C7
125-345-2	3117-311A-02CA
125-2346-4	3117-311C-02C7
125-2346-2	3117-311C-02CA
125-2346-5	3117-311C-02CB
125-2456-3	3117-311E-0020
125-2456-4	3117-311E-02C7
125-2456-5	3117-311E-02CB
125-356-2	3117-311F-02CA
125-146-3	3117-3120-0020
125-146-4	3117-3120-02C7
125-146-2	3117-3120-02CA
125-146-5	3117-3120-02CB
125-12356-3	3117-3121-0020
125-12356-4	3117-3121-02C7
125-12356-5	3117-3121-02CB
125-1236-3	3117-3122-0020
125-1236-4	3117-3122-02C7
125-1236-2	3117-3122-02CA
125-1236-5	3117-3122-02CB
125-136-4	3117-3123-02C7
125-136-5	3117-3123-02CB
125-1346-3	3117-31125-0020
125-1346-4	3117-31125-02C7
125-1346-5	3117-31125-02CB
125-1356-3	3117-3125-0020
125-1356-5	3117-3125-02CB
125-34-3	3117-3128-0020
125-34-4	3117-3128-02C7
125-34-2	3117-3128-02CA
125-34-5	3117-3128-02CB
125-25-3	3117-3128-311B-0020
125-25-4	3117-3128-311B-02C7
125-25-2	3117-3128-311B-02CA
125-25-5	3117-3128-311B-02CB
125-1246-3	3117-3128-311F-0020
125-1246-4	3117-3128-311F-02C7
125-1246-5	3117-3128-311F-02CB
125-12456-3	3117-3128-3122-0020
125-12456-4	3117-3128-3122-02C7
125-12456-5	3117-3128-3122-02CB
125-123456-3	3117-3128-3123-0020
125-123456-4	3117-3128-3123-02C7
125-123456-5	3117-3128-3123-02CB
125-12346-3	3117-3128-3125-0020
125-12346-4	3117-3128-3125-02C7
125-12346-5	3117-3128-3125-02CB
245-156-3	3118-0020
245-156-4	3118-02C7
245-156-2	3118-02CA
245-156-5	3118-02CB
245-345-3	3118-311A-0020
245-345-4	3118-311A-02C7
245-345-5	3118-311A-02CB
245-2346-5	3118-311C-02CB
245-2456-3	3118-311E-0020
245-2456-4	3118-311E-02C7
245-2456-2	3118-311E-02CA
245-2456-5	3118-311E-02CB
245-146-3	3118-3120-0020
245-146-4	3118-3120-02C7
245-146-2	3118-3120-02CA
245-146-5	3118-3120-02CB
245-12356-5	3118-3121-02CB
245-1236-3	3118-3122-0020
245-1236-4	3118-3122-02C7
245-1236-2	3118-3122-02CA
245-1236-5	3118-3122-02CB
245-136-3	3118-3123-0020
245-136-2	3118-3123-02CA
245-1346-3	3118-31245-0020
245-1346-2	3118-31245-02CA
245-1356-3	3118-3125-0020
245-1356-2	3118-3125-02CA
245-1356-5	3118-3125-02CB
245-34-3	3118-3128-0020
245-34-2	3118-3128-02CA
245-34-5	3118-3128-02CB
245-25-3	3118-3128-311B-0020
245-25-4	3118-3128-311B-02C7
245-25-2	3118-3128-311B-02CA
245-25-5	3118-3128-311B-02CB
245-1246-3	3118-3128-311F-0020
245-1246-4	3118-3128-311F-02C7
245-1246-2	3118-3128-311F-02CA
245-1246-5	3118-3128-311F-02CB
245-12456-3	3118-3128-3122-0020
245-12456-2	3118-3128-3122-02CA
245-12456-5	3118-3128-3122-02CB
245-123456-3	3118-3128-3123-0020
245-123456-4	3118-3128-3123-02C7
245-123456-2	3118-3128-3123-02CA
245-123456-5	3118-3128-3123-02CB
245-12346-3	3118-3128-3125-0020
245-12346-4	3118-3128-3125-02C7
245-12346-2	3118-3128-3125-02CA
245-12346-5	3118-3128-3125-02CB
15-156-3	3119-0020
15-156-4	3119-02C7
15-156-5	3119-02CB
15-156-1	3119-02D9
15-345-3	3119-311A-0020
15-345-4	3119-311A-02C7
15-345-5	3119-311A-02CB
15-2346-5	3119-311C-02CB
15-2456-3	3119-311E-0020
15-2456-5	3119-311E-02CB
15-146-3	3119-3120-0020
15-146-4	3119-3120-02C7
15-146-5	3119-3120-02CB
15-12356-3	3119-3121-0020
15-12356-4	3119-3121-02C7
15-12356-5	3119-3121-02CB
15-1236-3	3119-3122-0020
15-1236-4	3119-3122-02C7
15-1236-5	3119-3122-02CB
15-136-3	3119-3123-0020
15-1346-3	3119-3115-0020
15-1346-4	3119-3115-02C7
15-1346-5	3119-3115-02CB
15-1356-3	3119-3125-0020
15-34-3	3119-3128-0020
15-34-2	3119-3128-02CA
15-34-5	3119-3128-02CB
15-25-3	3119-3128-311B-0020
15-25-2	3119-3128-311B-02CA
15-25-5	3119-3128-311B-02CB
15-1246-3	3119-3128-311F-0020
15-1246-4	3119-3128-311F-02C7
15-1246-2	3119-3128-311F-02CA
15-1246-5	3119-3128-311F-02CB
15-12456-3	3119-3128-3122-0020
15-12456-4	3119-3128-3122-02C7
15-12456-5	3119-3128-3122-02CB
15-123456-3	3119-3128-3123-0020
15-123456-2	3119-3128-3123-02CA
15-123456-5	3119-3128-3123-02CB
15-12346-3	3119-3128-3125-0020
15-12346-4	3119-3128-3125-02C7
15-12346-5	3119-3128-3125-02CB
345-3	311A-0020
345-2	311A-02CA
345-5	311A-02CB
345-1	311A-02D9
126-3	311B-0020
126-2	311B-02CA
2346-3	311C-0020
2346-4	311C-02C7
2346-2	311C-02CA
2346-5	311C-02CB
2346-1	311C-02D9
26-3	311D-0020
26-5	311D-02CB
2456-3	311E-0020
2456-4	311E-02C7
2456-2	311E-02CA
2456-5	311E-02CB
2456-1	311E-02D9
356-4	311F-02C7
356-2	311F-02CA
356-5	311F-02CB
146-3	3120-0020
146-4	3120-02C7
146-2	3120-02CA
146-5	3120-02CB
146-1	3120-02D9
12356-3	3121-0020
12356-4	3121-02C7
12356-2	3121-02CA
12356-5	3121-02CB
12356-1	3121-02D9
1236-3	3122-0020
1236-4	3122-02C7
1236-2	3122-02CA
1236-5	3122-02CB
136-3	3123-0020
136-4	3123-02C7
136-5	3123-02CB
1346-3	3124-0020
1346-4	3124-02C7
1346-2	3124-02CA
1346-5	3124-02CB
1356-3	3125-0020
156-3	3126-0020
156-4	3126-02C7
156-2	3126-02CA
156-5	3126-02CB
16-3	3127-0020
16-4	3127-02C7
16-2	3127-02CA
16-5	3127-02CB
23456-3	3127-311A-0020
23456-4	3127-311A-02C7
23456-2	3127-311A-02CA
23456-5	3127-311A-02CB
23456-1	3127-311A-02D9
356-3	3127-311B-0020
346-3	3127-311D-0020
346-4	3127-311D-02C7
346-2	3127-311D-02CA
346-5	3127-311D-02CB
346-1	3127-311D-02D9
26-2	3127-311E-02CA
246-3	3127-3120-0020
246-4	3127-3120-02C7
246-2	3127-3120-02CA
246-5	3127-3120-02CB
234-3	3127-3121-0020
234-4	3127-3121-02C7
234-2	3127-3121-02CA
234-5	3127-3121-02CB
2345-3	3127-3122-0020
2345-4	3127-3122-02C7
2345-2	3127-3122-02CA
2345-5	3127-3122-02CB
1456-3	3127-3123-0020
1456-4	3127-3123-02C7
1456-2	3127-3123-02CA
1456-5	3127-3123-02CB
46-3	3127-3124-0020
46-4	3127-3124-02C7
46-2	3127-3124-02CA
46-5	3127-3124-02CB
13456-3	3127-3125-0020
13456-4	3127-3125-02C7
13456-2	3127-3125-02CA
13456-5	3127-3125-02CB
34-3	3128-0020
34-4	3128-02C7
34-2	3128-02CA
34-5	3128-02CB
35-3	3128-311A-0020
35-4	3128-311A-02C7
35-2	3128-311A-02CA
35-5	3128-311A-02CB
25-3	3128-311B-0020
25-4	3128-311B-02C7
25-5	3128-311B-02CB
2356-3	3128-311E-0020
2356-4	3128-311E-02C7
2356-5	3128-311E-02CB
1246-3	3128-311F-0020
1246-4	3128-311F-02C7
1246-2	3128-311F-02CA
1246-5	3128-311F-02CB
12456-3	3128-3122-0020
12456-4	3128-3122-02C7
12456-2	3128-3122-02CA
12456-5	3128-3122-02CB
123456-3	3128-3123-0020
123456-4	3128-3123-02C7
123456-2	3128-3123-02CA
123456-5	3128-3123-02CB
456-3	3128-3124-0020
456-4	3128-3124-02C7
456-2	3128-3124-02CA
456-5	3128-3124-02CB
12346-3	3128-3125-0020
12346-4	3128-3125-02C7
12346-5	3128-3125-02CB
1256-3	3129-0020
1256-4	3129-02C7
1256-2	3129-02CA
1256-5	3129-02CB
236-3	3129-311D-0020
236-5	3129-311D-02CB
45-3	3129-3122-0020
45-4	3129-3122-02C7
45-2	3129-3122-02CA
45-5	3129-3122-02CB
256-3	3129-3123-0020
256-4	3129-3123-02C7
256-2	3129-3123-02CA
256-5	3129-3123-02CB
235-3	3129-3125-0020
235-4	3129-3125-02C7
235-2	3129-3125-02CA
235-5	3129-3125-02CB

# Punctuation Marks
4-3456	203B
5-2	2500-2500
5-5-5	2026
6-0	3001
36-0	3002
56-36	300C
36-23	300D
236-236	300E
356-356	300F
12346-0	3010
13456-0	3011
123-0	FF01
23-0	FF0C
25-25	FF1A
56-0	FF1B
1345-0	FF1F
236-0	FF5B
356-0	FF5D

# Math Symbols
4-16	00D7
46-34	00F7
1246-246-25-25	2190
1246-126-25-25-135	2191
1246-25-25-135	2192
1246-146-25-25-135	2193

# Greek Characters
46-1	03B1
46-12	03B2
46-1245	03B3
46-145	03B4
